Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-09T12:32:46-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06825000,Equity Option,Bought 1 SPX 04/09/26 Call 6825.00 @ 3.67,-367.00,1,-367.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6825,CALL,453054251,-367.72,USD
2026-04-09T12:24:27-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409C06875000,Equity Option,Bought 2 SPX 04/09/26 Call 6875.00 @ 0.37,-74.00,2,-37.00,-2.00,-1.45,100,SPXW,SPX,4/09/26,6875,CALL,453049901,-77.45,USD
2026-04-09T12:24:27-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409C06825000,Equity Option,Sold 2 SPX 04/09/26 Call 6825.00 @ 1.57,314.00,2,157.00,-2.00,-1.46,100,SPXW,SPX,4/09/26,6825,CALL,453049901,310.54,USD
2026-04-09T12:16:00-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409C06860000,Equity Option,Sold 1 SPX 04/09/26 Call 6860.00 @ 0.47,47.00,1,47.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6860,CALL,453005382,46.28,USD
2026-04-09T12:16:00-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06805000,Equity Option,Bought 1 SPX 04/09/26 Call 6805.00 @ 3.12,-312.00,1,-312.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6805,CALL,453005382,-312.72,USD
2026-04-09T12:16:00-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260409C06860000,Equity Option,Sold 1 SPX 04/09/26 Call 6860.00 @ 0.47,47.00,1,47.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6860,CALL,453005382,46.28,USD
2026-04-09T12:16:00-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260409C06805000,Equity Option,Bought 1 SPX 04/09/26 Call 6805.00 @ 3.12,-312.00,1,-312.00,0.00,-0.72,100,SPXW,SPX,4/09/26,6805,CALL,453005382,-312.72,USD
2026-04-09T11:24:01-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409C06860000,Equity Option,Bought 2 SPX 04/09/26 Call 6860.00 @ 0.42,-84.00,2,-42.00,-2.00,-1.45,100,SPXW,SPX,4/09/26,6860,CALL,452999277,-87.45,USD
2026-04-09T11:24:01-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409C06805000,Equity Option,Sold 2 SPX 04/09/26 Call 6805.00 @ 1.87,374.00,2,187.00,-2.00,-1.46,100,SPXW,SPX,4/09/26,6805,CALL,452999277,370.54,USD
2026-04-09T11:20:16-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260409P06720000,Equity Option,Sold 2 SPX 04/09/26 Put 6720.00 @ 2.27,454.00,2,227.00,-2.00,-1.46,100,SPXW,SPX,4/09/26,6720,PUT,452995459,450.54,USD
